Phrase	SoundsLike	IPA	DisplayAs
telemetry	teh-lem-eh-tree		
sensor-fusion	sen-sor-few-zhun		sensor fusion
machine-learning	muh-sheen-ler-ning		machine learning
deep-learning	deep-ler-ning		deep learning
neural-network	noor-al-net-work		neural network
transformer	trans-for-mer		
G.P.T.	gee-pee-tee		GPT
L.L.M.	ell-ell-em		LLM
R.A.G.	are-ay-gee		RAG
fine-tuning	fine-too-ning		fine-tuning
embeddings	em-bed-ingz		
vector-database	vek-tor-day-tuh-base		vector database
TensorFlow	ten-sor-flow		
PyTorch	pie-torch		
scikit-learn	sigh-kit-lern		
Hugging-Face	hug-ing-face		Hugging Face
LangChain	lang-chain		
reinforcement-learning	ree-in-force-ment-ler-ning		reinforcement learning
supervised-learning	soo-per-vized-ler-ning		supervised learning
unsupervised-learning	un-soo-per-vized-ler-ning		unsupervised learning
convolutional-neural-network	con-vo-loo-shun-al-noor-al-net-work		convolutional neural network
C.N.N.	see-en-en		CNN
R.N.N.	are-en-en		RNN
L.S.T.M.	ell-ess-tee-em		LSTM
G.A.N.	gee-ay-en		GAN
N.L.P.	en-ell-pee		NLP
computer-vision	com-pew-ter-vizh-un		computer vision
object-detection	ob-jekt-dee-tek-shun		object detection
Y.O.L.O.	why-oh-ell-oh		YOLO
hyperparameter	hi-per-pah-ram-eh-ter		
epoch	ee-pok		
batch-size	batch-size		batch size
learning-rate	ler-ning-rate		learning rate
overfitting	oh-ver-fit-ing		
inference	in-fer-ens		
latency	lay-ten-see		
throughput	throo-put		
tokenizer	toe-ken-eye-zer		
prompt-engineering	prompt-en-jih-neer-ing		prompt engineering
Scrum	skrum		
Kanban	kahn-bahn		
sprint	sprint		
backlog	bak-log		
retrospective	ret-ro-spek-tiv		
standup	stand-up		
refactoring	ree-fak-tor-ing		
technical-debt	tek-nih-kal-det		technical debt
code-review	code-ree-view		code review
pull-request	pull-ree-kwest		pull request
merge-request	merj-ree-kwest		merge request
monorepo	mon-oh-ree-po		
polyrepo	pol-ee-ree-po		
idempotent	eye-dem-po-tent		
middleware	mid-ul-ware		
orchestration	or-kes-tray-shun		
observability	ob-zer-vuh-bil-ih-tee		
Prometheus	pro-mee-thee-us		
Grafana	gruh-fah-nuh		
Datadog	day-tuh-dog		
OpenTelemetry	oh-pen-teh-lem-eh-tree		
Elasticsearch	ee-las-tik-search		
Kibana	kih-bah-nuh		
Kafka	kaf-kuh		
RabbitMQ	rab-it-em-kew		
pub-sub	pub-sub		pub/sub
sharding	shar-ding		
replication	rep-lih-kay-shun		
load-balancer	load-bal-an-ser		load balancer
auto-scaling	aw-toe-skay-ling		auto-scaling
blue-green-deployment	bloo-green-dee-ploy-ment		blue-green deployment
canary-deployment	kuh-nair-ee-dee-ploy-ment		canary deployment
feature-flag	fee-cher-flag		feature flag
rollback	roll-bak		
hotfix	hot-fix		
